level,name,waves_completed,waves_total,peak_enemies,mean_tick_ms,p95_tick_ms
1,A Single Ember,3,3,10,0.0720411826821541,0.142
2,Briar Bend,4,4,18,0.093234805587014,0.187
3,Pilgrim's Fork,4,4,17,0.09661154855643,0.235
4,The Old Watch,4,4,11,0.0825346574787192,0.15
5,Rootbound Gate,4,4,12,0.160207440355843,0.289
6,Cinder Causeway,4,4,14,0.10196218487395,0.217
7,Twin Furnaces,4,4,19,0.118186158401184,0.252
8,Ashen Switchback,5,5,32,0.166538442881397,0.388
9,The Breach,5,5,28,0.135073286052009,0.258
10,The Living Furnace,5,5,30,0.126061709168775,0.223
11,Sunken Steps,5,5,13,0.143702338766832,0.301
12,Tombwater Crossing,5,5,24,0.187767614338689,0.346
13,The Long Descent,5,5,22,0.181109247311828,0.384
14,Three Tollgates,5,5,26,0.189719669421487,0.355
15,The Bell Below,5,5,35,0.217161214403389,0.412
16,Bloodmoon Avenue,5,5,16,0.197645139513951,0.411
17,Broken Crown,5,5,25,0.20882838573687,0.413
18,The Silent Court,5,5,29,0.239331392640894,0.455
19,Nightfall Bastion,6,6,50,0.272390358880779,0.536
20,The Last Vigil,6,6,27,0.255153195020747,0.48
21,The Fallen Portcullis,5,5,18,0.203339760999457,0.396
22,Courtyard of Echoes,5,5,18,0.245132792037716,0.493
23,Shattered Ramparts,5,5,20,0.204596653456627,0.368
24,The Empty Throne,5,5,27,0.224890384980087,0.456
25,The Ruined King,5,5,16,0.242804335204179,0.483
26,Pale Boughs,5,5,20,0.223202590420333,0.42
27,The Divided Wake,5,5,27,0.230332408575031,0.46
28,Roots of Remembrance,5,5,26,0.230859777180176,0.431
29,The Last Lanterns,5,5,24,0.2285457970332,0.425
30,The Mourning Matriarch,5,5,30,0.240164429045763,0.443
